queue_rank,content_hash_id,position_tier,avg_position,total_impressions,feat_ctr,tier_expected_ctr,opportunity_gap,rf_prob,priority_score,action_label,reason_text
1,content_06d45e82b3698a77,top_3,1.6957390448600367,16041.0,0.0,2.7645,2.7645,0.9459970674506999,25.32297764784881,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
2,content_39bb094b613d554a,top_3,1.2588512437919028,5552.0,0.0,2.7645,2.7645,0.9725530301468187,23.181557887009212,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
3,content_c0239977f39161a4,top_3,2.9784642743797103,5360.0,0.0,2.7645,2.7645,0.9689180996383044,23.000663368920346,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
4,content_b42b2d8b76939b96,top_3,0.21910462100887534,5215.0,0.0,2.7645,2.7645,0.9658869130510152,22.85549161361149,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
5,content_94ea772ab7347bfe,top_3,0.4188208978547337,4776.0,0.0,2.7645,2.7645,0.9723789659946473,22.772774830242614,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
6,content_d34f15f5caa87605,top_3,0.6207685808290656,4574.0,0.0,2.7645,2.7645,0.9726420420203132,22.66276061190694,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
7,content_df1a66a4a2abe607,top_3,2.879827735220123,4709.0,0.0,2.7645,2.7645,0.96846550863278,22.643306308321247,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
8,content_aaf17d425fe492a8,top_3,2.364826443639971,4707.0,0.0,2.7645,2.7645,0.96846550863278,22.642169199406887,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
9,content_8a4dd8299d900229,top_3,2.6962772375736392,4573.0,0.0,2.7645,2.7645,0.9687357789030503,22.571158439410098,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
10,content_c7a23df34c9849b6,top_3,1.8392345973575193,4558.0,0.0,2.7645,2.7645,0.9687357789030503,22.562361529953908,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
11,content_5f664239a08b85c1,top_3,2.5962323800418154,4448.0,0.0,2.7645,2.7645,0.9701376874679849,22.529509007038023,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
12,content_57ede7d093afcd29,top_3,2.429148958539958,4396.0,0.0,2.7645,2.7645,0.9701376874679849,22.497977743297362,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
13,content_6c88154c20f75633,top_3,1.0424013338930147,4097.0,0.0,2.7645,2.7645,0.9757930847567969,22.43915636929177,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
14,content_f9e04ee043a37ad6,top_3,0.5072304857422478,4010.0,0.0,2.7645,2.7645,0.975891047139242,22.383517362381426,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
15,content_dbe21995d2bd211e,top_3,0.9938308933474371,3993.0,0.0,2.7645,2.7645,0.975891047139242,22.37205864094609,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
16,content_33e389c45ee9ea95,top_3,1.5410530295589613,3956.0,0.0,2.7645,2.7645,0.9761264180901302,22.352339312053175,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
17,content_25b305a0fbcf1dea,top_3,0.26803508331754855,3943.0,0.0,2.7645,2.7645,0.9751712337258546,22.32159518670341,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
18,content_2b7e2125fa5399a1,top_3,1.9203127499314618,4042.0,0.0,2.7645,2.7645,0.9716817537189486,22.308316679783022,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
19,content_a49c4955ca7cff42,top_3,2.2555437952241744,3944.0,0.0,2.7645,2.7645,0.9720150870522819,22.25003246607137,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
20,content_ee374cbb8f0013cc,top_3,0.9009747336957491,3743.0,0.0,2.7645,2.7645,0.9762243804725754,22.205255155095227,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
21,content_03cfb7d7a5f4e0f3,top_3,1.8371259504444648,3831.0,0.0,2.7645,2.7645,0.9720150870522819,22.171938675021714,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
22,content_5cc6fa5852bf25f1,top_3,1.7752290829530843,3809.0,0.0,2.7645,2.7645,0.9720150870522819,22.156467031762404,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
23,content_bdad959cc10d182b,top_3,0.8999240031041166,3610.0,0.0,2.7645,2.7645,0.9766469156838431,22.117209816702488,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
24,content_de2b6556c330740a,top_3,1.5323092504581228,3608.0,0.0,2.7645,2.7645,0.9765489533013979,22.11349569233758,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
25,content_6e443d47e7e3a5e5,top_3,1.3095984377419194,3603.0,0.0,2.7645,2.7645,0.9765489533013979,22.109752908455956,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
26,content_f6c5d68d2b39c63a,top_3,0.37305557703838105,3595.0,0.0,2.7645,2.7645,0.976351079625417,22.099274857112373,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
27,content_1b86d6e570c74c6d,top_3,2.3401166222591288,3716.0,0.0,2.7645,2.7645,0.9720150870522819,22.090061733850302,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
28,content_7fccbffcbcf496d7,top_3,2.6199331049947956,3690.0,0.0,2.7645,2.7645,0.9720150870522819,22.071199472704233,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
29,content_d4cd394d33151ccf,top_3,2.085364124727292,3656.0,0.0,2.7645,2.7645,0.9724376222635496,22.055915499584827,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
30,content_51f36df59bb6586c,top_3,2.1070970033694123,3515.0,0.0,2.7645,2.7645,0.9724376222635496,21.9502136538414,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
31,content_5e118059b0c0b45d,top_3,0.5433284593560201,3346.0,0.0,2.7645,2.7645,0.9769802490171764,21.919708205350545,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
32,content_1a870e201af446ff,top_3,2.8419262653034094,21710.0,0.004606172270842929,2.7645,2.759893827729157,0.7950696127854221,21.911422796224052,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
33,content_41057630275dbebb,top_3,1.8412274918698712,3406.0,0.0,2.7645,2.7645,0.9724376222635496,21.865554017412215,rewrite_title_and_meta,High-confidence CTR opportunity: page ranks in top-10 but captures far below tier benchmark -- title/meta rewrite is the highest-leverage lever
